Movie_count,Title,Phase,Year,MediaType,Poster_link,Hotstar_link,YTS_Link,Netflix_Link,AmznPrime_Link
X01,X-Men,X-Men Universe,2000,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/xmen.png,https://www.hotstar.com/in/movies/x-men/1770000943,https://en.yts-official.biz/movies/x-men-2000/,,
X02,X2: X-Men United,X-Men Universe,2003,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/x2xmenUnited.png,https://www.hotstar.com/in/movies/x-men-united/1770000775,https://en.yts-official.biz/movies/x2-x-men-united-2003/,,
X03,X-Men: The Last Stand,X-Men Universe,2006,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/xmenTheLastStand.png,https://www.hotstar.com/in/movies/x-men-the-last-stand/1770000804,https://en.yts-official.biz/movies/x-men-the-last-stand-2006/,,
X04,X-Men Origins: Wolverine,X-Men Universe,2009,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/xmenOrigins_Wolverine.png,https://www.hotstar.com/in/movies/x-men-origins-wolverine/1770000667,https://en.yts-official.biz/movies/x-men-origins-wolverine-2009/,,
X05,X-Men: First Class,X-Men Universe,2011,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/xmenFirstClass.png,https://www.hotstar.com/in/movies/x-men-first-class/1770000666,https://en.yts-official.biz/movies/x-men-first-class-2011/,,
X06,The Wolverine,X-Men Universe,2013,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/theWolverine.png,https://www.hotstar.com/in/movies/the-wolverine/1770000445,https://en.yts-official.biz/movies/the-wolverine-2013/,,
X07,X-Men: Days of Future Past,X-Men Universe,2014,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/xmenDaysOfFuturePast.png,https://www.hotstar.com/in/movies/x-men-days-of-future-past/1770000446,https://en.yts-official.biz/movies/x-men-days-of-future-past-2014/,,
X08,Deadpool,X-Men Universe,2016,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/Deadpool.png,https://www.hotstar.com/in/movies/deadpool/1770003257,https://en.yts-official.biz/movies/deadpool-2016/,,
X09,X-Men: Apocalypse,X-Men Universe,2016,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/xmenApocalypse.png,https://www.hotstar.com/in/movies/x-men-apocalypse/1770015391,https://en.yts-official.biz/movies/x-men-apocalypse-2016/,,
X10,Logan,X-Men Universe,2017,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/logan.png,https://www.hotstar.com/in/movies/logan/1770016994,https://en.yts-official.biz/movies/logan-2017/,,
X11,Deadpool 2,X-Men Universe,2018,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/Deadpool_2.png,https://www.hotstar.com/in/movies/deadpool-2/1770020234,https://en.yts-official.biz/movies/deadpool-2-2018/,,
X12,Dark Phoenix,X-Men Universe,2019,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/xmenDarkPheonix.png,https://www.hotstar.com/in/movies/x-men-dark-phoenix/1260017860,https://en.yts-official.biz/movies/x-men-dark-phoenix-2019/,,
X13,The New Mutants,X-Men Universe,2020,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/TheNewMutants.png,https://www.hotstar.com/in/movies/the-new-mutants/1260057812,https://en.yts-official.biz/movies/the-new-mutants-2020/,,
1,Iron Man,Phase 1,2008,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/Iron_Man.png,https://www.hotstar.com/in/movies/iron-man/1660000038,https://en.yts-official.biz/movies/iron-man-2008/,,
2,The Incredible Hulk,Phase 1,2008,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/The_Incredible_Hulk.png,https://www.hotstar.com/in/movies/the-incredible-hulk/1000046231,https://en.yts-official.biz/movies/the-incredible-hulk-2008/,,
3,Iron Man 2,Phase 1,2010,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/Iron_Man_2.png,https://www.hotstar.com/in/movies/iron-man-2/1660000039,https://en.yts-official.biz/movies/iron-man-2-2010/,,
4,Thor,Phase 1,2011,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/Thor.png,https://www.hotstar.com/in/movies/thor/1660000044,https://en.yts-official.biz/movies/thor-2011/,,
5,Captain America: The First Avenger,Phase 1,2011,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/CaptainAmerica_TheFirstAvenger.png,https://www.hotstar.com/in/movies/captain-america-the-first-avenger/1660000034,https://en.yts-official.biz/movies/captain-america-the-first-avenger-2011/,,
6,The Avengers,Phase 1,2012,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/TheAvengers.png,https://www.hotstar.com/in/movies/marvels-the-avengers/1660000015,https://en.yts-official.biz/movies/the-avengers-2012/,,
7,Iron Man 3,Phase 2,2013,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/Iron_Man_3.png,https://www.hotstar.com/in/movies/iron-man-3/1660000042,https://en.yts-official.biz/movies/iron-man-three-2013/,,
